"filename", "language", "C++", "Log", "CMake", "JSON", "CMake Cache", "TypeScript", "Makefile", "C", "comment", "blank", "total"
"d:\program\cpp\leetcode\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\cache-v2-0f1b881086ff3b5a3105.json", "JSON", 0, 0, 0, 1671, 0, 0, 0, 0, 0, 1, 1672
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\cmakeFiles-v1-93862b369222034741b8.json", "JSON", 0, 0, 0, 178, 0, 0, 0, 0, 0, 1, 179
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\codemodel-v2-dd3c1e9b55e278d40e90.json", "JSON", 0, 0, 0, 456, 0, 0, 0, 0, 0, 1, 457
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\index-2022-10-02T05-21-40-0490.json", "JSON", 0, 0, 0, 132, 0, 0, 0, 0, 0, 1, 133
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1020-num-enclaves-Debug-e2f67e6d83aafb2b4853.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1090-largest-num-Debug-cb3b1da47b3bd0543866.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1331-array-rank-Debug-e6f6ceb3f0d6458a09a9.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1334-find-city-Debug-0bea820587abb051a5f4.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1450-busy-student-2-Debug-3437794853c9b15e18a7.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1450-busy-student-Debug-05128b134f44ffe3aa5d.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1582-min-cost-Debug-03a68fb83f45babc6280.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1598-folder-Debug-b736eb576bbef53acdee.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-16-closest-sum-Debug-859f1d513542f411ac19.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1608-special-val-Debug-744cac35389399c18657.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-1636-frequency-Debug-9a19b41fbc45f8fd38f7.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-179-largest-num-Debug-09d5410720dc110a0bc5.json", "JSON", 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-207-curricular-Debug-dec890787452c41aecdb.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-210-curricular-Debug-8d02e341025202d77d2f.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2283-min-time-Debug-3459452fd1dd6ce5dd01.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2367-three-diff-Debug-a11ddb6823ad7731ce7a.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2368-nums-node-Debug-02db2d95fdb92a3beb88.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2369-legal-partition-Debug-df1be6e0fe5506cf95e4.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2370-longest-ideal-sequence-Debug-41b7742197f7f79e59bb.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2384-max-num-Debug-2260e80bfbc23e6fa404.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-2385-tree-Debug-ef24a62128be47fc5a91.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-307-range-Debug-50102588da10a42469fc.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-307-range-sum-query-Debug-eaa57ec6924004576bbc.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-315-count-smaller-Debug-d0bb2b03aad8542a8a57.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-327-count-range-sum-Debug-33d6c517b9a522f47a95.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-378-kth-smallest-Debug-fd71caa55a4f5160b418.json", "JSON", 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-419-count-ships-Debug-12d5153662c05c31b85a.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-49-group-anagrams-Debug-cc51f907b98fa23ac450.json", "JSON", 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-493-reverse-pair-Debug-50e6ff920da3fd1afa91.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-667-construct-array-Debug-380945e630f97fe8322a.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-669-trim-bst-Debug-ce35b13b8177af80e4d0.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-684-redundant-connection-2-Debug-2dac8e6ee545162ffc86.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-684-redundant-connection-Debug-fc0f3a95b0a821310b3b.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-707_linked_list-Debug-2e422d01284481a15b53.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-743-net-delay-Debug-bc64732918a51f46d763.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-75-color-sort-Debug-3bb4af630812771ddedb.json", "JSON", 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-785-is-bipartite-Debug-1403c336ebd12e607c5a.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-797-possible-paths-Debug-2b75717f37206b5a877a.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-857-min-cost-Debug-fc40faff1cf19f412185.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-886-possible-bipartition-Debug-d0671d57dca613dd5d13.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-98-verify-bst-Debug-57ee8772d83a1082a063.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-bit-template-Debug-792704226ed6f991d19e.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-circulating-decimal-Debug-6a693f4923ce10ac2de5.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-leetcode-Debug-1e93d3f251ac86dba178.json", "JSON", 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\target-offer51-reverse-pair-Debug-0150c15b0064b18ed37e.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 110
"d:\program\cpp\leetcode\build\.cmake\api\v1\reply\toolchains-v1-bb57c26a17c865f84a9e.json", "JSON", 0, 0, 0, 133, 0, 0, 0, 0, 0, 1, 134
"d:\program\cpp\leetcode\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 419, 0, 0, 0, 0, 99, 518
"d:\program\cpp\leetcode\build\CMakeFiles\1020-num-enclaves.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1020-num-enclaves.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1020-num-enclaves.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1090-largest-num.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1090-largest-num.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1090-largest-num.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1331-array-rank.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1331-array-rank.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1331-array-rank.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1334-find-city.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1334-find-city.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1334-find-city.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1450-busy-student-2.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1450-busy-student-2.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1450-busy-student-2.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1450-busy-student.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1450-busy-student.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1450-busy-student.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1582-min-cost.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1582-min-cost.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1582-min-cost.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1598-folder.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1598-folder.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1598-folder.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\16-closest-sum.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\16-closest-sum.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\16-closest-sum.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1608-special-val.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1608-special-val.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1608-special-val.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\1636-frequency.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\1636-frequency.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\1636-frequency.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\179-largest-num.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\179-largest-num.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\179-largest-num.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\207-curricular.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\207-curricular.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\207-curricular.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\210-curricular.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\210-curricular.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\210-curricular.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2283-min-time.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2283-min-time.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2283-min-time.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2367-three-diff.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2367-three-diff.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2367-three-diff.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2368-nums-node.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2368-nums-node.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2368-nums-node.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2369-legal-partition.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2369-legal-partition.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2369-legal-partition.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2370-longest-ideal-sequence.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2370-longest-ideal-sequence.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2370-longest-ideal-sequence.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2384-max-num.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2384-max-num.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2384-max-num.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2385-tree.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2385-tree.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2385-tree.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeCCompiler.cmake", "CMake", 0, 0, 55, 0, 0, 0, 0, 0, 0, 18, 73
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeCXXCompiler.cmake", "CMake", 0, 0, 64, 0, 0, 0, 0, 0, 0, 20, 84
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeRCCompiler.cmake", "CMake", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 628, 0, 0, 0, 0, 0, 0, 0, 63, 136, 827
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 640, 61, 138, 839
"d:\program\cpp\leetcode\build\CMakeFiles\307-range-sum-query.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\307-range-sum-query.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\307-range-sum-query.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\307-range.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\307-range.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
